"date","name","party","facebook","twitter","location"
"9/19/15","Donald Trump","R","3784729","4218580",""
"9/19/15","Jeb Bush","R","278382","311675",""
"9/19/15","Ben Carson","R","3582268","650527",""
"9/19/15","Chris Christie","R","186340","558475",""
"9/19/15","Ted Cruz","R","1456890","507061",""
"9/19/15","Mark Everson","R","1850","6588",""
"9/19/15","Carly Fiorina","R","436816","553588",""
"9/19/15","Jim Gilmore","R","10475","0",""
"9/19/15","Lindsey Graham","R","135224","27086",""
"9/19/15","Mike Huckabee","R","1843364","406474",""
"9/19/15","Bobby Jindal","R","282904","216732",""
"9/19/15","John Kasich","R","144306","109085",""
"9/19/15","George Pataki","R","18974","52856",""
"9/19/15","Rand Paul","R","2064848","687468",""
"9/19/15","Marco Rubio","R","1020366","863759",""
"9/19/15","Rick Santorum","R","265252","243872",""
"9/19/15","Lincoln Chafee","D","9566","19430",""
"9/19/15","Hillary Clinton","D","1374531","4283858",""
"9/19/15","Martin OMalley","D","79504","182",""
"9/19/15","Bernie Sanders","D","1514843","721370",""
"9/19/15","Jim Webb","D","31366","14023",""
"9/20/15","Donald Trump","R","3792275","4224323",""
"9/20/15","Jeb Bush","R","278851","312201",""
"9/20/15","Ben Carson","R","3627187","652284",""
"9/20/15","Chris Christie","R","186371","558670",""
"9/20/15","Ted Cruz","R","1458045","507652",""
"9/20/15","Mark Everson","R","1850","6585",""
"9/20/15","Carly Fiorina","R","438560","554910",""
"9/20/15","Jim Gilmore","R","10476","0",""
"9/20/15","Lindsey Graham","R","135278","27109",""
"9/20/15","Mike Huckabee","R","1843694","406692",""
"9/20/15","Bobby Jindal","R","282962","216801",""
"9/20/15","John Kasich","R","144418","109176",""
"9/20/15","George Pataki","R","18981","52854",""
"9/20/15","Rand Paul","R","2064991","687653",""
"9/20/15","Marco Rubio","R","1020998","864610",""
"9/20/15","Rick Santorum","R","265270","243959",""
"9/20/15","Lincoln Chafee","D","9579","19438",""
"9/20/15","Hillary Clinton","D","1377616","4286643",""
"9/20/15","Martin OMalley","D","79549","182",""
"9/20/15","Bernie Sanders","D","1519694","723837",""
"9/20/15","Jim Webb","D","31377","14040",""
"9/21/15","Donald Trump","R","3803563","4234193",""
"9/21/15","Jeb Bush","R","279590","313822",""
"9/21/15","Ben Carson","R","3719583","656476",""
"9/21/15","Chris Christie","R","186437","559031",""
"9/21/15","Ted Cruz","R","1459948","508618",""
"9/21/15","Mark Everson","R","1853","6579",""
"9/21/15","Carly Fiorina","R","443455","558528",""
"9/21/15","Jim Gilmore","R","10477","0",""
"9/21/15","Lindsey Graham","R","135460","27225",""
"9/21/15","Mike Huckabee","R","1844072","407171",""
"9/21/15","Bobby Jindal","R","283053","217031",""
"9/21/15","John Kasich","R","144656","109365",""
"9/21/15","George Pataki","R","19001","52867",""
"9/21/15","Rand Paul","R","2065337","688393",""
"9/21/15","Marco Rubio","R","1022728","866795",""
"9/21/15","Rick Santorum","R","265293","244067",""
"9/21/15","Lincoln Chafee","D","9599","19453",""
"9/21/15","Hillary Clinton","D","1382419","4292337",""
"9/21/15","Martin OMalley","D","79614","183",""
"9/21/15","Bernie Sanders","D","1528911","729025",""
"9/21/15","Jim Webb","D","31402","14084",""
"9/22/15","Donald Trump","R","3815561","4248860",""
"9/22/15","Jeb Bush","R","280467","315503",""
"9/22/15","Ben Carson","R","3844448","663593",""
"9/22/15","Chris Christie","R","186520","559342",""
"9/22/15","Ted Cruz","R","1462609","509873",""
"9/22/15","Mark Everson","R","1853","6577",""
"9/22/15","Carly Fiorina","R","449652","563040",""
"9/22/15","Jim Gilmore","R","10476","1698",""
"9/22/15","Lindsey Graham","R","135606","27341",""
"9/22/15","Mike Huckabee","R","1844772","407845",""
"9/22/15","Bobby Jindal","R","283191","217289",""
"9/22/15","John Kasich","R","144957","109665",""
"9/22/15","George Pataki","R","19015","53158",""
